Restaurant ID,Restaurant Name,Review Count,Overall Rating,Price Range,Categories,Coordinates,Address,Phone,Image
walk-ons-sports-bistreaux-knoxville-restaurant-knoxville,Walk-On's Sports Bistreaux - Knoxville Restaurant,92,,$$,"American (Traditional),Sports Bars",35.9286803 -84.0376829,"7621 Kingston Pike Knoxville, TN 37919 ",(865) 694-2706,https://s3-media3.fl.yelpcdn.com/bphoto/V2V6xSZE1gPDdY66zHZi6g/o.jpg
oliver-royale-knoxville,Oliver Royale,242,,$$,"American (New),Sandwiches",35.9655662 -83.9200862,"5 Market Square Knoxville, TN 37902 ",(865) 622-6434,https://s3-media2.fl.yelpcdn.com/bphoto/rTDXtBCP-o6p7C_cwFhYfg/o.jpg
point-b-knoxville,Point B,32,,,"American (New),Breakfast & Brunch,Cocktail Bars",35.8934038 -84.06849539999999,"1020 Ebenezer Rd Knoxville, TN 37922 ",,https://s3-media2.fl.yelpcdn.com/bphoto/iT4tCLjrgCIKqXMSdGAXCA/o.jpg
lakeside-tavern-knoxville,Lakeside Tavern,358,,$$,"American (New),Steakhouses",35.8654099993323 -84.129815456155,"10911 Concord Park Dr Knoxville, TN 37922 ",(865) 671-2980,https://s3-media2.fl.yelpcdn.com/bphoto/oXW7d4_FO21lQpU0ybQ93w/o.jpg
finns-restaurant-and-tavern-knoxville,Finn's Restaurant & Tavern,100,,$$,"Irish,Pubs,Wine Bars",35.91199 -84.08192,"9000 Kingston Pike Knoxville, TN 37923 ",(865) 357-0894,https://s3-media4.fl.yelpcdn.com/bphoto/O3s5-ZbmEixvnadCXu3zQA/o.jpg
delicias-colombianas-knoxville,Delicias Colombianas,14,,,Colombian,36.00188 -83.97587,"5003 Clinton Hwy Knoxville, TN 37912 ",(865) 851-9544,https://s3-media2.fl.yelpcdn.com/bphoto/v4SQygOL5Aphxg3_etcT1Q/o.jpg
kellys-kitchen-of-knoxville-knoxville,Kelly's Kitchen of Knoxville,51,,,"Delis,Cheesesteaks,Sandwiches",35.91062 -84.09313,"9355 Kingston Pike Ste 15 Knoxville, TN 37922 ",(865) 500-2333,https://s3-media1.fl.yelpcdn.com/bphoto/nGz7O6Vyzym54SmSkbGSjA/o.jpg
the-plaid-apron-knoxville,The Plaid Apron,176,,$$,"Breakfast & Brunch,American (Traditional),Bars",35.9339613115154 -83.963286900846,"1210 Kenesaw Ave Knoxville, TN 37919 ",(865) 247-4640,https://s3-media2.fl.yelpcdn.com/bphoto/qRpy6HeoZFhlEZOmf2a7Rg/o.jpg
myrtles-chicken-beer-knoxville,Myrtle's Chicken + Beer,325,,$$,"Southern,American (Traditional),Chicken Wings",35.96513 -83.92,"13 Market Square Knoxville, TN 37902 ",(865) 851-8833,https://s3-media1.fl.yelpcdn.com/bphoto/ETrYpi9YJ8pYlSnm9H41og/o.jpg
vida-knoxville,Vida,60,,,"Tacos,Cocktail Bars,Breakfast & Brunch",35.96421 -83.9181,"531 S Gay St Knoxville, TN 37902 ",(865) 544-8564,https://s3-media3.fl.yelpcdn.com/bphoto/bjLUAt6jbX9l3vKLdLGgcw/o.jpg
puleos-pizzeria-no-title,Puleo's Pizzeria,15,,,Pizza,35.92364390545311 -84.0501562644623,"8078 Kingston Pike Ste 101 Knoxville, TN 37919 ",(865) 347-2734,https://s3-media2.fl.yelpcdn.com/bphoto/qj4kjBKNA_etd4XrLFkBmg/o.jpg
potchke-knoxville,Potchke,22,,$$,Delis,35.97052529067282 -83.92221276667311,"318 N Gay St Ste 103 Knoxville, TN 37917 ",,https://s3-media3.fl.yelpcdn.com/bphoto/QxPdtVniYKKs_TTzQOAu_A/o.jpg
super-chix-knoxville,Super Chix,9,,,"Chicken Shop,Salad,Sandwiches",36.00716 -84.02204,"6672 Clinton Hwy Ste 102 Knoxville, TN 37912 ",(865) 512-9068,https://s3-media3.fl.yelpcdn.com/bphoto/h1Mx0TsyKsmh_Es9KoyU2A/o.jpg
zen-ramen-house-and-sushi-bar-knoxville,Zen Ramen House & Sushi Bar,17,,$$,"Sushi Bars,Ramen",35.95552 -83.93584,"1909 Cumberland Ave Knoxville, TN 37916 ",(865) 766-5421,https://s3-media4.fl.yelpcdn.com/bphoto/xKScxuGZ9RCeN7avUcapGQ/o.jpg
redbud-kitchen-knoxville,Redbud Kitchen,42,,$$,American (Traditional),35.95828 -83.90629,"906 Sevier Ave Ste 110 Knoxville, TN 37920 ",(865) 474-9277,https://s3-media3.fl.yelpcdn.com/bphoto/aTcqcLG5Z5hMQxR4XoJ5aQ/o.jpg
sk-african-cuisine-knoxville,Sk African Cuisine,10,,,South African,35.9748071 -83.9724412,"3627 Western Ave Knoxville, TN 37921 ",(865) 444-1130,https://s3-media2.fl.yelpcdn.com/bphoto/Kf_SZxYSFVkQQVvIBQLCAw/o.jpg
blackhorse-pub-and-brewery-knoxville-knoxville,Blackhorse Pub & Brewery - Knoxville,231,,$$,"American (New),Pubs,Brewpubs",35.96557 -83.91803,"430 S Gay St Knoxville, TN 37902 ",(865) 249-8511,https://s3-media1.fl.yelpcdn.com/bphoto/BTATBNL39lBr-sMg2yXNLQ/o.jpg
the-french-market-creperie-knoxville,The French Market Creperie,635,,$$,"French,Creperies,Breakfast & Brunch",35.96351806478077 -83.91895497281249,"412 W Clinch Ave Knoxville, TN 37902 ",(865) 540-4372,https://s3-media4.fl.yelpcdn.com/bphoto/7i3fGW_sQmGkqLZ0ECDLSw/o.jpg
brother-wolf-knoxville,Brother Wolf,11,,,"Cocktail Bars,Wine Bars,Italian",35.9701952 -83.9185551,"108 W Jackson Ave Knoxville, TN 37902 ",(865) 247-4729,https://s3-media3.fl.yelpcdn.com/bphoto/ToT0ZnqPOZXJbL6E40t9Jw/o.jpg
fieldhouse-social-knoxville,Fieldhouse Social,88,,$$,"Sports Bars,American (New)",35.9514211878441 -83.9399457546732,"2525 University Commons Way Knoxville, TN 37996 ",(865) 525-4481,https://s3-media4.fl.yelpcdn.com/bphoto/8NL9k7kC5AK1byeMsJUBkg/o.jpg
guy-fieris-flavortown-kitchen-knoxville,Guy Fieri's Flavortown Kitchen,10,,,"Food Delivery Services,Burgers,Chicken Wings",35.9081 -84.02224,"Knoxville, TN 37919 ",(888) 395-3942,https://s3-media3.fl.yelpcdn.com/bphoto/3zCyYmFgsHitvcypKk0YIg/o.jpg
the-tomato-head-knoxville,The Tomato Head,807,,$$,"Pizza,Sandwiches,Cocktail Bars",35.96528 -83.91914,"12 Market Sq Knoxville, TN 37902 ",(865) 637-4067,https://s3-media4.fl.yelpcdn.com/bphoto/OOB1K_VFrchyDmlPoCVFhQ/o.jpg
maple-street-biscuit-company-sherrill-hill-knoxville-3,Maple Street Biscuit Company - Sherrill Hill,332,,$,"Breakfast & Brunch,Comfort Food,Southern",35.9107236861792 -84.0916676957622,"9314 Kingston Pike Knoxville, TN 37922 ",(865) 247-6793,https://s3-media4.fl.yelpcdn.com/bphoto/khOsHsd3-pJE5E3Mz9TkhA/o.jpg
scrambled-jakes-knoxville,Scrambled Jake's,384,,$$,"Breakfast & Brunch,Desserts,Coffee & Tea",35.904424 -84.018921,"7428 S Northshore Dr Knoxville, TN 37919 ",(865) 540-6199,https://s3-media2.fl.yelpcdn.com/bphoto/fqphitLT4Vx_-eHQDLakbg/o.jpg
brickyard-bar-and-grill-knoxville,Brickyard Bar & Grill,9,,,"Pizza,Chicken Wings,Cocktail Bars",35.93891 -83.98598,"4928 Homberg Dr Ste A6-8 Knoxville, TN 37919 ",(865) 240-4967,https://s3-media4.fl.yelpcdn.com/bphoto/1N_lv2UIigdDccgqfdwJqQ/o.jpg
chesapeakes-knoxville,Chesapeake's,236,,$$$,"Seafood,Breakfast & Brunch,Wine Bars",35.963812 -83.922166,"600 Union Ave Knoxville, TN 37902 ",(865) 673-3433,https://s3-media2.fl.yelpcdn.com/bphoto/eHXOvz2ZZFHT-tbrvz5mOA/o.jpg
roll-on-in-knoxville-knoxville,"Roll On In - Knoxville, TN",1,,,"Asian Fusion,Sushi Bars,Tex-Mex",35.95439 -83.93717,"2008 Cumberland Ave Knoxville, TN 37916 ",(865) 394-9589,https://s3-media3.fl.yelpcdn.com/bphoto/wAVeXIj5Q3PLYuUShECpBQ/o.jpg
turkish-market-and-deli-knoxville-2,Turkish Market & Deli,239,,$$,"Grocery,Turkish,Delis",35.92379761130936 -84.05013625657729,"8078 Kingston Pike Ste 121 Knoxville, TN 37919 ",(865) 603-9940,https://s3-media4.fl.yelpcdn.com/bphoto/_AOdssYOx-9kR3Wzy8ju6g/o.jpg
chivo-taqueria-knoxville-2,Chivo Taqueria,343,,$$,"Cocktail Bars,Mexican,Tex-Mex",35.9667821946351 -83.9189968689844,"314 South Gay St Knoxville, TN 37902 ",(865) 444-3161,https://s3-media3.fl.yelpcdn.com/bphoto/aq8tL6HLpWJ3AOOesbDDGA/o.jpg
jackies-dream-knoxville,Jackie's Dream,228,,$$,"Soul Food,Chicken Shop,Southern",35.991322288392 -83.9238774669485,"1008 E Woodland Ave Knoxville, TN 37917 ",(865) 219-5789,https://s3-media2.fl.yelpcdn.com/bphoto/oGYZ4H5ZKy9RGLO7A8jmdQ/o.jpg
landing-house-knoxville,Landing House,77,,$$,"Chinese,Cambodian,French",35.96052 -83.90315,"1147 Sevier Ave Knoxville, TN 37920 ",(865) 249-7424,https://s3-media2.fl.yelpcdn.com/bphoto/cIkcMGy_8XBipEWom6xdPw/o.jpg
northshore-brasserie-knoxville,Northshore Brasserie,144,,$$$,French,35.86192 -84.06655,"9430 S Northshore Dr Knoxville, TN 37922 ",(865) 539-5188,https://s3-media2.fl.yelpcdn.com/bphoto/548RbEDkApHr0CC0XeZM9Q/o.jpg
fin-two-japanese-ale-house-knoxville,Fin-Two Japanese Ale House,106,,$$,"Japanese,Sushi Bars,Beer Bar",35.96978 -83.91798,"122 S Central Ave Knoxville, TN 37902 ",(865) 437-3105,https://s3-media4.fl.yelpcdn.com/bphoto/7mAzFjCVX0TVYigay7UsNw/o.jpg
loco-burro-knoxville,Loco Burro,90,,$$,Tex-Mex,35.925970157030115 -84.03688051457878,"7600 Kingston Pike Ste 1040B Knoxville, TN 37919 ",(865) 277-7130,https://s3-media1.fl.yelpcdn.com/bphoto/HQLrAhcQgP1he_4FzXwOOg/o.jpg
flower-pot-galleria-and-eatery-knoxville-2,Flower Pot Galleria & Eatery,34,,$$,"Coffee & Tea,Florists,American (Traditional)",35.9840343 -83.9117098,"1520 Washington Ave Knoxville, TN 37917 ",(865) 240-3499,https://s3-media2.fl.yelpcdn.com/bphoto/4VTDzBUKi5uI8fa0LgE9hQ/o.jpg
cafe-4-knoxville,Cafe 4,519,,$$,"Comfort Food,Breakfast & Brunch,Cocktail Bars",35.965063 -83.919013,"4 Market Sq Knoxville, TN 37902 ",(865) 544-4144,https://s3-media3.fl.yelpcdn.com/bphoto/CNIo7XF1KaIU_aSMCH7POQ/o.jpg
fiesta-garibaldi-mexican-grill-knoxville,Fiesta Garibaldi Mexican Grill,113,,$$,Mexican,35.9213 -84.06384,"8520 Kingston Pike Knoxville, TN 37919 ",(865) 249-7011,https://s3-media3.fl.yelpcdn.com/bphoto/qgsfj1dU0O0oBQ3ZDEO6xQ/o.jpg
sunspot-knoxville,Sunspot,246,,$$,"American (Traditional),Sports Bars,Breakfast & Brunch",35.953663 -83.93913,"2200 Cumberland Ave Knoxville, TN 37916 ",(865) 637-4663,https://s3-media1.fl.yelpcdn.com/bphoto/zODmbOEl5xko6wDWaSb8wQ/o.jpg
millies-kitchen-sabor-boricua-knoxville,Millie's Kitchen Sabor Boricua,24,,,"Puerto Rican,Desserts,Coffee & Tea",35.90695082278749 -83.95473539801584,"3105 Alcoa Hwy Unit K Knoxville, TN 37920 ",(865) 345-5828,https://s3-media2.fl.yelpcdn.com/bphoto/A07DycycuTBSKh4BOCBSzQ/o.jpg
austins-steak-and-homestyle-buffet-knoxville,Austin's Steak & Homestyle Buffet,108,,$$,"Buffets,Steakhouses,American (Traditional)",36.0050278 -83.9795106,"900 Merchant Dr Knoxville, TN 37912 ",(865) 474-1819,https://s3-media3.fl.yelpcdn.com/bphoto/ENPg7Qn-tTBWn7GIHUcNoA/o.jpg
savellis-italian-restaurant-knoxville,Savelli's Italian Restaurant,130,,$$,Italian,35.95228 -83.96705,"3055 Sutherland Ave Knoxville, TN 37919 ",(865) 521-9085,https://s3-media1.fl.yelpcdn.com/bphoto/lM52e1B0kf1IPe2GpyHv2A/o.jpg
hard-knox-pizzeria-knoxville,Hard Knox Pizzeria,305,,$$,"Pizza,Salad,Desserts",35.942887 -83.978036,"4437 Kingston Pike Knoxville, TN 37919 ",(865) 602-2114,https://s3-media3.fl.yelpcdn.com/bphoto/xqAXH0ovMZvjCfc9VAuPbQ/o.jpg
brazeiros-churrascaria-brazilian-steakhouse-knoxville-2,Brazeiros Churrascaria - Brazilian Steakhouse,190,,$$$,"Brazilian,Steakhouses",35.9331908 -84.018729,"6901 Kingston Pike Knoxville, TN 37919 ",(865) 247-0295,https://s3-media2.fl.yelpcdn.com/bphoto/FQ2K90KnVbHMVTOwnr7G2Q/o.jpg
stephanies-schnitzel-kitchen-and-more-knoxville,Stephanie's Schnitzel Kitchen and More,1,,,"Food Delivery Services,German",36.00121354159864 -83.91369755558645,"Knoxville, TN 37917 ",(865) 851-2844,https://s3-media2.fl.yelpcdn.com/bphoto/qNgkrump_FE9KpltcQqK6A/o.jpg
aubreys-papermill-knoxville-4,Aubrey's - Papermill,128,,$$,American (Traditional),35.93768 -84.00582,"6005 Brookvale Ln Knoxville, TN 37919 ",(865) 588-1111,https://s3-media1.fl.yelpcdn.com/bphoto/el7ePNJsKwU_E3tVzu5zHQ/o.jpg
littons-market-and-restaurant-knoxville-2,Litton's Market and Restaurant,291,,$$,"Burgers,Bakeries,Sandwiches",36.0353001 -83.932075,"2803 Essary Dr Knoxville, TN 37918 ",(865) 687-8788,https://s3-media4.fl.yelpcdn.com/bphoto/rK1R9j3X6L_TJvOLT8fiFw/o.jpg
twin-peaks-knoxville,Twin Peaks,179,,$$,"Sports Bars,American (Traditional),American (New)",35.9345562666857 -84.0034298915405,"135 N Northshore Dr Knoxville, TN 37919 ",(865) 622-5730,https://s3-media1.fl.yelpcdn.com/bphoto/sXmeY5f64BAxpkdYQlvzQQ/o.jpg
pho-99-knoxville-2,Pho 99,160,,$,Vietnamese,35.9210202 -84.0865911,"9117 Executive Park Dr Knoxville, TN 37923 ",(865) 357-2099,https://s3-media2.fl.yelpcdn.com/bphoto/0RswiST2mcHe_gFOWjT2Nw/o.jpg
suttrees-high-gravity-tavern-knoxville,Suttree's High Gravity Tavern,141,,$$,"Ramen,Beer Bar",35.9661497042862 -83.9187830686569,"409 S Gay St Knoxville, TN 37902 ",(865) 934-3814,https://s3-media2.fl.yelpcdn.com/bphoto/m8lVPBz5U3B_2bWKoY6nxQ/o.jpg
cappuccinos-knoxville,Cappuccino's,42,,$$$,Italian,35.92883 -84.0317,"7316 Kingston Pike Knoxville, TN 37919 ",(865) 673-3422,https://s3-media2.fl.yelpcdn.com/bphoto/zZPprA3JLxR6Jww6ObeBqg/o.jpg
space-bar-knoxville-knoxville,Space Bar - Knoxville,17,,,"Lounges,Tapas Bars",35.91078 -84.09916,"179 N Seven Oaks Dr Knoxville, TN 37922 ",,https://s3-media2.fl.yelpcdn.com/bphoto/eiz12s7D-oYYgdsvZxQ7Uw/o.jpg
babalu-knoxville-3,Babalu,55,,,"Latin American,Tapas/Small Plates",35.96606 -83.91833,"412 S Gay St Knoxville, TN 37902 ",(865) 951-0361,https://s3-media3.fl.yelpcdn.com/bphoto/E7Mesi2sJUq1VBWIqDZmSg/o.jpg
clancys-tavern-and-whiskey-house-knoxville,Clancy's Tavern & Whiskey House,130,,$$,"Irish,Whiskey Bars,Cocktail Bars",35.96432 -83.9174,"602 S Gay St Knoxville, TN 37902 ",(865) 219-1266,https://s3-media1.fl.yelpcdn.com/bphoto/auM7KCKYqighEU6kh_6tMQ/o.jpg
smokehouse-228-on-the-water-knoxville,Smokehouse  228 On The Water,2,,,Barbeque,35.87347 -83.94403,"3725 Maryville Pike Knoxville, TN 37920 ",(865) 415-2115,https://s3-media2.fl.yelpcdn.com/bphoto/iPZ9o8LdwFdsCQZWo-ZW4Q/o.jpg
sabor-catracho-latin-cuisine-knoxville-2,Sabor Catracho Latin Cuisine,29,,$,"Latin American,Mexican,Honduran",36.0077549 -83.9662959,"4705 Central Ave Pike Knoxville, TN 37912 ",(865) 686-3221,https://s3-media1.fl.yelpcdn.com/bphoto/3vUXibWjp7iG1apdzV7k7Q/o.jpg
colonels-cafe-knoxville-2,Colonel's Cafe,187,,$,"American (Traditional),Breakfast & Brunch",35.94209 -83.98441,"4809 Newcom Ave Knoxville, TN 37919 ",(865) 588-8481,https://s3-media1.fl.yelpcdn.com/bphoto/sHxYfqQrytYQ7hKOj31Prg/o.jpg
yassins-falafel-house-knoxville-3,Yassin's Falafel House,368,,$$,"Middle Eastern,Greek,Falafel",35.9149348 -84.0821925,"159 N Peters Rd Knoxville, TN 37923 ",,https://s3-media4.fl.yelpcdn.com/bphoto/p7tNMJKBHWRLQloHZ1oRTg/o.jpg
taqueria-la-herradura-knoxville-6,Taqueria La Herradura,41,,,Mexican,35.9316102632901 -84.0254615680691,"7063 Kingston Pike Knoxville, TN 37919 ",(678) 815-5388,https://s3-media3.fl.yelpcdn.com/bphoto/WNbuVyfsuNgghyOwr9-f-w/o.jpg
parkside-grill-knoxville,Parkside Grill,246,,$$,"American (Traditional),Beer Bar",35.91436 -84.09518,"338 N Peters Rd Knoxville, TN 37922 ",(865) 862-5358,https://s3-media2.fl.yelpcdn.com/bphoto/sZGX-viR_VQCGqlrnyBI_A/o.jpg
copper-cellar-west-knoxville,Copper Cellar West,132,,$$,Steakhouses,35.9293977510318 -84.0318733167029,"7316 Kingston Pike Knoxville, TN 37919 ",(865) 673-3422,https://s3-media2.fl.yelpcdn.com/bphoto/-fNCeLckst_aZedlBMfoRQ/o.jpg
clean-eatz-knoxville-bearden-knoxville,Clean Eatz Knoxville - Bearden,20,,,Cafes,35.9347933 -84.00404032252314,"215 Brookview Centre Way Ste 104 Knoxville, TN 37919 ",(865) 249-6423,https://s3-media1.fl.yelpcdn.com/bphoto/b5xB0kMjz7qIAK2sJo6Xaw/o.jpg
szechuan-garden-chinese-restaurant-knoxville,Szechuan Garden Chinese Restaurant,98,,$,Chinese,35.93568 -83.90727,"4211 Chapman Hwy Knoxville, TN 37920 ",(865) 579-0889,https://s3-media3.fl.yelpcdn.com/bphoto/6P7KcbeRInas2gv3lyRAiA/o.jpg
the-drawing-room-knoxville,The Drawing Room,6,,,"Bars,Breakfast & Brunch,American (Traditional)",35.96238 -83.92304,"531 Henley St Knoxville, TN 37902 ",(865) 232-1800,https://s3-media2.fl.yelpcdn.com/bphoto/RbEL4A28hYAcfDVfTq_hsg/o.jpg
rosatis-pizza-knoxville,Rosati's Pizza,123,,$$,"Pizza,Italian,Fast Food",35.9362 -84.0035,"234 Brookview Centre Way Ste 109 Knoxville, TN 37919 ",(865) 602-2211,https://s3-media2.fl.yelpcdn.com/bphoto/Sfots-QsJchwKk-VNp0dyA/o.jpg
tennessee-tap-house-knoxville,Tennessee Tap House,106,,$$,"Pizza,American (Traditional),Sports Bars",35.91437 -84.09599,"350 N Peters Rd Knoxville, TN 37922 ",(865) 394-9425,https://s3-media3.fl.yelpcdn.com/bphoto/NqB4SsQTtg-CKgWNo6Neyw/o.jpg
corner-16-knoxville,Corner 16,232,,$$,"Southern,Comfort Food,Burgers",35.9474306429776 -84.1158789260433,"1640 Bob Kirby Rd Knoxville, TN 37931 ",(865) 801-9101,https://s3-media3.fl.yelpcdn.com/bphoto/WZTSdIuz3XXwkvpZSVs0aA/o.jpg
